url,is_private,has_homepage,size,stars,watchers,has_projects,has_pages,has_wiki,has_discussions,forks,is_archived,is_disabled,open_issues,subscribers_count,created_at,updated_at,is_private_b,has_homepage_b,size_b,stars_b,watchers_b,has_projects_b,has_pages_b,has_wiki_b,has_discussions_b,forks_b,is_archived_b,is_disabled_b,open_issues_b,subscribers_count_b,stars_ratio,watchers_ratio,forks_ratio,size_ratio,commit_count,commit_count_b,commit_count_ratio,commit_decay,commit_decay_b,age_days,days_since_update,age_days_b,days_since_update_b,log_stars,log_watchers,log_forks,log_commit_count,open_issues_count,closed_issues_count,open_prs_count,closed_prs_count,used_by
https://github.com/walletconnect/walletconnect-utils,False,False,3961,115,115,True,False,True,False,80,False,False,21,24,2021-07-08T15:40:14Z,2025-01-24T09:23:58Z,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0.026925778506204635,0.026925778506204635,0.018730976352142357,0.9274174666354483,690,1,0.1390848619229994,0.5315870570107858,1,1297,1,1,1,4.74493212836325,4.74493212836325,4.382026634673881,6.536691597591305,9,25,12,164,0
https://github.com/mysticatea/abort-controller,False,False,115,305,305,True,False,True,False,36,False,False,23,8,2017-09-29T04:05:44Z,2025-01-09T20:52:24Z,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0.4007884362680683,0.4007884362680683,0.04730617608409987,0.15111695137976347,570,1,0.42824943651389935,0.21300448430493274,1,2675,16,1,1,5.720311776607412,5.720311776607412,3.58351893845611,6.345636360828596,17,12,6,5,0
https://github.com/mafintosh/end-of-stream,False,False,24,148,148,True,False,True,False,28,False,False,7,9,2013-11-26T23:27:57Z,2024-11-01T23:16:50Z,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0.42528735632183906,0.42528735632183906,0.08045977011494253,0.06896551724137931,540,1,0.6081081081081081,0.13241785188818048,1,4077,84,1,1,4.997212273764115,4.997212273764115,3.332204510175204,6.29156913955832,4,12,3,13,16986681
https://github.com/sheetjs/js-crc32,False,True,22367,345,345,True,True,True,False,37,False,False,2,10,2014-06-16T21:21:27Z,2025-01-10T21:24:43Z,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0.014938945180566382,0.014938945180566382,0.0016021477440027712,0.9685199618948644,360,1,0.015349194167306216,0.09285530049006964,1,3876,15,1,1,5.84354441703136,5.84354441703136,3.6109179126442243,5.886104031450156,1,17,1,5,1108986
https://github.com/ethereumjs/ethereumjs-monorepo,False,False,91723,2625,2625,True,True,False,True,777,False,False,142,64,2015-07-10T14:54:03Z,2025-01-25T20:51:13Z,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0.026854219948849106,0.026854219948849106,0.007948849104859336,0.9383427109974425,630,1,0.006403740597682455,0.18061926605504589,1,3487,0,1,0,7.872836175025724,7.872836175025724,6.655440350367647,6.4457198193855785,91,1020,51,2608,0
https://github.com/ethereum/solidity,False,True,76195,23781,23781,True,False,True,False,5922,False,False,557,731,2015-08-17T12:27:26Z,2025-01-25T19:36:51Z,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0.1833835856229613,0.1833835856229613,0.04566660754632593,0.5875662212077515,780,1,0.005978889919438291,0.22608695652173913,1,3449,0,1,0,10.076642221505265,10.076642221505265,8.686429508661536,6.659293919683638,493,5628,64,9051,0
https://github.com/rollup/rollup,False,True,30458,25556,25556,True,False,True,True,1544,False,False,582,256,2015-05-14T22:26:28Z,2025-01-25T08:39:12Z,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0.30748129075727315,0.30748129075727315,0.018576894386024015,0.3664605240994297,30,1,0.0003608197825459444,0.008465011286681716,1,3543,0,1,0,10.148627401722234,10.148627401722234,7.342131730584722,3.4011973816621555,556,2804,26,2352,16073089
https://github.com/ajv-validator/ajv-formats,False,True,86,192,192,False,False,True,False,37,False,False,47,5,2020-07-20T10:21:48Z,2025-01-24T07:51:19Z,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0.378698224852071,0.378698224852071,0.07297830374753451,0.16962524654832348,570,1,0.5292479108635098,0.3452453058752271,1,1650,1,1,1,5.2574953720277815,5.2574953720277815,3.6109179126442243,6.345636360828596,41,32,6,27,10848486
https://github.com/ethereumjs/ethereumjs-blockchain,False,True,335,123,123,False,False,False,False,63,True,False,0,28,2015-07-26T23:30:09Z,2025-01-21T10:52:00Z,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0.19099378881987578,0.19099378881987578,0.09782608695652174,0.5201863354037267,150,1,0.1889168765743073,0.043215211754537596,1,3470,4,1,1,4.812184355372417,4.812184355372417,4.143134726391533,5.0106352940962555,0,39,0,92,0
https://github.com/facebook/fbjs,False,False,1556,1961,1961,True,False,False,False,314,False,False,77,70,2015-05-28T22:16:50Z,2025-01-23T16:57:36Z,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0.33857044198895025,0.33857044198895025,0.05421270718232044,0.268646408839779,510,1,0.08092668993970169,0.14447592067988668,1,3529,2,1,1,7.581209826196346,7.581209826196346,5.749392985908253,6.234410725718371,45,95,32,356,0
https://github.com/reactivex/rxjs,False,True,125743,30962,30962,True,True,False,True,3006,False,False,271,449,2015-03-15T06:17:10Z,2025-01-25T20:29:28Z,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0.16238271805656804,0.16238271805656804,0.015765210596151526,0.6594693532907123,900,1,0.00469794804069467,0.24965325936199723,1,3604,0,1,0,10.34051592510041,10.34051592510041,8.00836557031292,6.802394763324311,218,2936,53,3850,12210616
